Version;SupportBegin;SupportEnd
5.0.16;2025-01-10T11:07:25;2027-04-10T11:07:25
5.0.17;2025-03-08T13:05:28;2027-06-07T00:00:00
5.0.18;2025-03-16T09:23:47;2027-06-15T00:00:00
5.0.19;2025-03-16T19:26:36;2027-06-15T00:00:00
5.1.0;2025-05-05T15:05:32;2027-08-04T00:00:00
5.0.21;2025-09-21T00:00:00;2027-12-21T00:00:00
5.0.22;2025-10-17T00:00:00;2027-01-16T00:00:00
5.0.23;2025-11-25T00:00:00;2027-02-24T00:00:00
